ChemicalID,ChemicalName,CAS Number,Lab,Qty,Units,Phase,Room,Location,SubLocation,Status,Plasmid Name,Primary Box,Secondary Box,Primary Tube,Secondary Tube,Primary Date Deposited,Secondary Date Deposited,Primary Deposited By,Secondary Deposited By,Primary Preparation/Concentration,Secondary Preparation/Concentration,Primary Reference,Secondary Reference,System,Organism,gene,Fragment Size,Mutations,Vector,Markers,Hosts,Notebook Reference,Source,File,Freezer ID,Freezer Name,Shelf ID,Shelf Name,Rack ID,Rack Name,Drawer ID,Drawer Name,Category ID,Category Name,Box ID,Box Name,Item Group ID,Item Group Name,Item ID,Item Name,Row,Column,Concentration,Volume/Mass,Expires On,Created On,Notes,Catalog #,Packaging,Price,Lot,Item Type,GHS Hazard Codes,SDS URL,Storage Class,Min Stock Level,Reorder Qty
,BMDB,,Lab Main,1,vials,,,Refrigerator #1 / 2nd Shelf / Tray 5,Refrigerator #1 / 2nd Shelf / Tray 5,Available,,,,,,,,,,,,,,,,,,,,,,,,,dyn-store-1782413208557-4,Refrigerator #1,shelf-1786386628395,2nd Shelf,,,,,,,dyn-box-1782413208563-120,Tray 5,,,,BMDB,,,,50 mg,,2026-08-10T21:43:08.002Z,,,,,,Sample,,,,,
,Cy-5 Monohydrazide,,Lab Main,1,vials,,,Refrigerator #1 / 2nd Shelf / Tray 5,Refrigerator #1 / 2nd Shelf / Tray 5,Available,,,,,,,,,,,,,,,,,,,,,,,,,dyn-store-1782413208557-4,Refrigerator #1,shelf-1786386628395,2nd Shelf,,,,,,,dyn-box-1782413208563-120,Tray 5,,,,Cy-5 Monohydrazide,,,,,,2026-08-10T21:43:23.259Z,,,,,,Sample,,,,,
,EZ-Link Maleimide-PEG2-Biotin,,Lab Main,1,vials,,,Refrigerator #1 / 2nd Shelf / Tray 5,Refrigerator #1 / 2nd Shelf / Tray 5,Available,,,,,,,,,,,,,,,,,,,,,,,,,dyn-store-1782413208557-4,Refrigerator #1,shelf-1786386628395,2nd Shelf,,,,,,,dyn-box-1782413208563-120,Tray 5,,,,EZ-Link Maleimide-PEG2-Biotin,,,,50 mg,,2026-08-10T21:44:09.439Z,,,,,,Sample,,,,,
,Biotin Maleimide,,Lab Main,1,vials,,,Refrigerator #1 / 2nd Shelf / Tray 5,Refrigerator #1 / 2nd Shelf / Tray 5,Available,,,,,,,,,,,,,,,,,,,,,,,,,dyn-store-1782413208557-4,Refrigerator #1,shelf-1786386628395,2nd Shelf,,,,,,,dyn-box-1782413208563-120,Tray 5,,,,Biotin Maleimide,,,,100 mg,,2026-08-10T21:44:43.674Z,,,,,,Sample,,,,,
,"Zeba Spin Desalting Columns, 40K MWCO",,Lab Main,1,vials,,,Refrigerator #1 / 2nd Shelf / Tray 5,Refrigerator #1 / 2nd Shelf / Tray 5,Available,,,,,,,,,,,,,,,,,,,,,,,,,dyn-store-1782413208557-4,Refrigerator #1,shelf-1786386628395,2nd Shelf,,,,,,,dyn-box-1782413208563-120,Tray 5,,,,"Zeba Spin Desalting Columns, 40K MWCO",,,,0.5 mL,,2026-08-10T21:45:00.222Z,,,,,,Sample,,,,,
,"Zeba Spin Desalting Columns, 7K MWCO",,Lab Main,1,vials,,,Refrigerator #1 / 2nd Shelf / Tray 5,Refrigerator #1 / 2nd Shelf / Tray 5,Available,,,,,,,,,,,,,,,,,,,,,,,,,dyn-store-1782413208557-4,Refrigerator #1,shelf-1786386628395,2nd Shelf,,,,,,,dyn-box-1782413208563-120,Tray 5,,,,"Zeba Spin Desalting Columns, 7K MWCO",,,,0.5 mL,,2026-08-10T21:45:38.696Z,,,,,,Sample,,,,,
,β-NADP,,Lab Main,1,vials,,,Refrigerator #1 / Fridge door / Jar 2,Refrigerator #1 / Fridge door / Jar 2,Available,,,,,,,,,,,,,,,,,,,,,,,,,dyn-store-1782413208557-4,Refrigerator #1,shelf-1786383135559,Fridge door,,,,,,,dyn-box-1782413208557-4,Jar 2,,,,β-NADP,,,,5 mL,,2026-08-10T22:45:10.493Z,imobilized in cross-linked 4% beaded agarose,,,,,Sample,,,,,
,β-NADH,,Lab Main,1,vials,,,Refrigerator #1 / Fridge door / Jar 2,Refrigerator #1 / Fridge door / Jar 2,Available,,,,,,,,,,,,,,,,,,,,,,,,,dyn-store-1782413208557-4,Refrigerator #1,shelf-1786383135559,Fridge door,,,,,,,dyn-box-1782413208557-4,Jar 2,,,,β-NADH,,,,500 mg,,2026-08-10T22:46:32.521Z,,,,,,Sample,,,,,
,"trans,trans-Farnesol, 96%",,Lab Main,1,vials,,,Refrigerator #1 / Fridge door / Jar 2,Refrigerator #1 / Fridge door / Jar 2,Available,,,,,,,,,,,,,,,,,,,,,,,,,dyn-store-1782413208557-4,Refrigerator #1,shelf-1786383135559,Fridge door,,,,,,,dyn-box-1782413208557-4,Jar 2,,,,"trans,trans-Farnesol, 96%",,,,1 g,,2026-08-10T22:46:56.112Z,,,,,,Sample,,,,,
,Trolox,,Lab Main,1,vials,,,Refrigerator #1 / Fridge door / Jar 2,Refrigerator #1 / Fridge door / Jar 2,Available,,,,,,,,,,,,,,,,,,,,,,,,,dyn-store-1782413208557-4,Refrigerator #1,shelf-1786383135559,Fridge door,,,,,,,dyn-box-1782413208557-4,Jar 2,,,,Trolox,,,,1 g,,2026-08-10T22:47:41.294Z,,,,,,Sample,,,,,
